corridor_id,geometry_match_status,match_method,matched_route_features,tracker_length_miles,geometry_length_miles,relative_length_error
16TH_CENTRAL_PARK_KEDZIE_2024,verified_primary,endpoint_path;endpoint_path,2,0.38,0.377,0.008
24TH_MARSHALL_CALIFORNIA_2024,verified_primary,manual_endpoint_verified,1,0.18,0.1822,0.0121
31ST_MICHIGAN_MLK_2024,matched,endpoint_path,2,0.33,0.3262,0.0115
CALIFORNIA_SCHUBERT_GEORGE_2024,matched,endpoint_path,1,0.3,0.2886,0.0379
CANAL_ROOSEVELT_TAYLOR_2024,verified_primary,endpoint_path,1,0.19,0.1729,0.0899
CLARK_GRAND_OAK_2024,verified_primary,manual_endpoint_verified,1,0.62,0.6162,0.0061
COMMERCIAL_93RD_90TH_2024,unmatched,no_reliable_match,0,0.36,,
CORTLAND_ASHLAND_CHICAGO_RIVER_2024,matched,endpoint_path,1,0.18,0.1924,0.0691
DAMEN_17TH_14TH_2024,verified_primary,endpoint_path,1,0.31,0.3145,0.0144
DAMEN_GARFIELD_51ST_2024,matched,endpoint_path,1,0.5,0.53,0.0601
DAMEN_IRVING_PARK_BELLE_PLAINE_2024,matched,endpoint_path,1,0.13,0.1261,0.0301
DIVISION_KEDZIE_CALIFORNIA_2024,matched,endpoint_path,2,0.5,0.511,0.022
DOUGLAS_INDEPENDENCE_SACRAMENTO_2024,verified_primary,manual_endpoint_verified,1,0.88,0.8753,0.0053
EXCHANGE_ANTHONY_SOUTH_CHICAGO_2024,matched,length_fallback,1,0.11,0.1145,0.0413
FRANCISCO_LAWRENCE_AINSLIE_2024,matched,length_fallback,1,0.14,0.137,0.0214
FRANKLIN_CENTRAL_PARK_SACRAMENTO_2024,verified_primary,manual_endpoint_verified,1,0.76,0.7561,0.0051
GRAND_CHICAGO_DAMEN_2024,verified_primary,manual_endpoint_verified,1,1.27,1.2734,0.0026
HALSTED_59TH_PERSHING_2024,matched,endpoint_path;endpoint_path,4,2.51,2.5151,0.002
HALSTED_69TH_66TH_2024,matched,endpoint_path,2,0.38,0.3767,0.0086
HALSTED_ROOSEVELT_VAN_BUREN_2024,verified_primary,manual_endpoint_verified,2,0.66,0.6571,0.0044
HARRISON_ASHLAND_HALSTED_2024,verified_primary,endpoint_path,1,1.0,1.0051,0.0051
HOMAN_ROOSEVELT_HARRISON_2024,verified_primary,endpoint_path;endpoint_path;length_fallback,3,0.26,0.2535,0.0251
JACKSON_OAKLEY_OGDEN_2024,verified_primary,endpoint_path;endpoint_path,2,0.55,0.5543,0.0079
KEELER_HARRISON_CONGRESS_2024,verified_primary,endpoint_path,1,0.06,0.0631,0.0512
LINCOLN_FOSTER_BERWYN_2024,matched,endpoint_path,1,0.13,0.1259,0.0319
MILWAUKEE_CALIFORNIA_LOGAN_2024,verified_primary,manual_endpoint_verified,2,0.56,0.5608,0.0014
MILWAUKEE_CAMPBELL_MAPLEWOOD_2024,matched,endpoint_path,1,0.14,0.1409,0.0061
PAULINA_CONGRESS_WARREN_2024,verified_primary,endpoint_path,2,0.5,0.4973,0.0054
TAYLOR_MORGAN_CANAL_2024,verified_primary,endpoint_path,3,0.61,0.6118,0.003
WABASH_ROOSEVELT_BALBOA_2024,verified_primary,manual_endpoint_verified,1,0.39,0.393,0.0078
WESTERN_33RD_BROSS_2024,matched,endpoint_path,1,0.03,0.0325,0.0828
WRIGHTWOOD_KEELER_PULASKI_2024,matched,endpoint_path,1,0.25,0.2526,0.0104
18TH_CLARK_INDIANA_2025,matched,endpoint_path,2,0.41,0.4077,0.0057
71ST_SOUTH_CHICAGO_DORCHESTER_2025,matched,length_fallback,1,0.75,0.7552,0.0069
AINSLIE_LINCOLN_WESTERN_2025,unmatched,no_reliable_match,0,0.03,,
BELMONT_MILWAUKEE_KIMBALL_2025,matched,endpoint_path,1,0.6,0.589,0.0184
CLARK_MONTROSE_WINNEMAC_2025,matched,endpoint_path,1,0.82,0.821,0.0013
ELLSWORTH_GARFIELD_51ST_2025,matched,endpoint_path,1,0.5,0.5639,0.1277
INDIANA_55TH_31ST_2025,matched,length_fallback,1,2.7,3.0126,0.1158
JACKSON_HAMLIN_CENTRAL_PARK_2025,matched,endpoint_path,1,0.25,0.2505,0.002
KEDZIE_ARCHER_28TH_2025,matched,endpoint_path,4,1.85,1.8485,0.0008
LINCOLN_AINSLIE_FOSTER_2025,matched,length_fallback,1,0.44,0.4415,0.0034
LOGAN_SQUARE_LOGAN_LOGAN_2025,unmatched,no_street_match,0,0.46,,
MILWAUKEE_BELMONT_ADDISON_2025,matched,endpoint_path,1,0.78,0.7787,0.0016
MILWAUKEE_KINZIE_CHICAGO_2025,matched,endpoint_path,5,0.73,0.7605,0.0418
PRATT_WESTERN_RAVENSWOOD_2025,matched,length_fallback,1,0.76,0.7369,0.0303
WABASH_CERMAK_ROOSEVELT_2025,matched,endpoint_path,1,1.0,1.0065,0.0065
