control_pool,event_time,mean_log1p_trips,pre_mean_log1p,pre_normalized_percent
treated,-13,6.310390,6.324008,-1.352534
treated,-12,6.015586,6.324008,-26.539472
treated,-11,6.107582,6.324008,-19.460797
treated,-10,6.206624,6.324008,-11.075660
treated,-9,6.218559,6.324008,-10.007997
treated,-8,6.204636,6.324008,-11.252245
treated,-7,6.085167,6.324008,-21.245999
treated,-6,6.257178,6.324008,-6.464541
treated,-5,6.491380,6.324008,18.219368
treated,-4,6.712845,6.324008,47.526345
treated,-3,6.760272,6.324008,54.691756
treated,-2,6.517877,6.324008,21.393786
treated,0,5.963143,6.324008,-30.292660
treated,1,6.040205,6.324008,-24.708465
treated,2,6.218481,6.324008,-10.014939
treated,3,6.162236,6.324008,-14.936451
treated,4,6.039555,6.324008,-24.757444
treated,5,5.965787,6.324008,-30.108107
treated,6,6.099086,6.324008,-20.142140
treated,7,6.388983,6.324008,6.713214
treated,8,6.478102,6.324008,16.660016
treated,9,6.566869,6.324008,27.489120
treated,10,6.435124,6.324008,11.752479
treated,11,6.001910,6.324008,-27.537257
broad,-13,4.829190,4.873973,-4.379455
broad,-12,4.578066,4.873973,-25.614319
broad,-11,4.688393,4.873973,-16.937770
broad,-10,4.721424,4.873973,-14.148254
broad,-9,4.734396,4.873973,-13.027334
broad,-8,4.796513,4.873973,-7.453602
broad,-7,4.719132,4.873973,-14.344860
broad,-6,4.962041,4.873973,9.206319
broad,-5,5.054463,4.873973,19.780467
broad,-4,5.155780,4.873973,32.552376
broad,-3,5.245525,4.873973,44.998305
broad,-2,5.002749,4.873973,13.743550
broad,0,4.454023,4.873973,-34.292037
broad,1,4.443384,4.873973,-34.987365
broad,2,4.668970,4.873973,-18.535499
broad,3,4.631967,4.873973,-21.494804
broad,4,4.553306,4.873973,-27.433477
broad,5,4.599936,4.873973,-23.969607
broad,6,4.709876,4.873973,-15.134026
broad,7,5.005504,4.873973,14.057382
broad,8,5.067860,4.873973,21.395926
broad,9,5.107971,4.873973,26.364247
broad,10,4.943705,4.873973,7.222061
broad,11,4.512385,4.873973,-30.343071
cohort_local,-13,5.924409,5.963115,-3.796698
cohort_local,-12,5.666210,5.963115,-25.688594
cohort_local,-11,5.757798,5.963115,-18.561139
cohort_local,-10,5.812339,5.963115,-13.995961
cohort_local,-9,5.822591,5.963115,-13.109771
cohort_local,-8,5.848479,5.963115,-10.830935
cohort_local,-7,5.761704,5.963115,-18.242378
cohort_local,-6,6.026441,5.963115,6.537361
cohort_local,-5,6.154396,5.963115,21.079970
cohort_local,-4,6.289339,5.963115,38.572487
cohort_local,-3,6.357982,5.963115,48.418698
cohort_local,-2,6.135696,5.963115,18.836742
cohort_local,0,5.599499,5.963115,-30.484197
cohort_local,1,5.600968,5.963115,-30.382024
cohort_local,2,5.793482,5.963115,-15.602547
cohort_local,3,5.731222,5.963115,-20.696899
cohort_local,4,5.646590,5.963115,-27.132338
cohort_local,5,5.665042,5.963115,-25.775337
cohort_local,6,5.783881,5.963115,-16.409001
cohort_local,7,6.123200,5.963115,17.361001
cohort_local,8,6.159510,5.963115,21.700750
cohort_local,9,6.218632,5.963115,29.112810
cohort_local,10,6.078905,5.963115,12.275970
cohort_local,11,5.646227,5.963115,-27.158765
pre_period_matched,-13,6.273749,6.316691,-4.203343
pre_period_matched,-12,6.015518,6.316691,-26.005023
pre_period_matched,-11,6.100493,6.316691,-19.442455
pre_period_matched,-10,6.176923,6.316691,-13.044054
pre_period_matched,-9,6.195516,6.316691,-11.412089
pre_period_matched,-8,6.218520,6.316691,-9.350644
pre_period_matched,-7,6.144684,6.316691,-15.802684
pre_period_matched,-6,6.392036,6.316691,7.825582
pre_period_matched,-5,6.497150,6.316691,19.776736
pre_period_matched,-4,6.620593,6.316691,35.513625
pre_period_matched,-3,6.690041,6.316691,45.259298
pre_period_matched,-2,6.475071,6.316691,17.161056
pre_period_matched,0,5.943127,6.316691,-31.172322
pre_period_matched,1,5.970342,6.316691,-29.273461
pre_period_matched,2,6.186065,6.316691,-12.245436
pre_period_matched,3,6.117277,6.316691,-18.078919
pre_period_matched,4,6.019614,6.316691,-25.701341
pre_period_matched,5,6.033910,6.316691,-24.631510
pre_period_matched,6,6.153591,6.316691,-15.049419
pre_period_matched,7,6.473537,6.316691,16.981480
pre_period_matched,8,6.496865,6.316691,19.742597
pre_period_matched,9,6.546531,6.316691,25.839819
pre_period_matched,10,6.393293,6.316691,7.961200
pre_period_matched,11,5.971867,6.316691,-29.165513
