corridor_id,stable_treated_stations,complete_local_controls_0_8_to_3km,treated_pretrend_pct_per_month,control_pretrend_pct_per_month,pretrend_gap_pct_points_per_month
24TH_MARSHALL_CALIFORNIA_2024,0,14,,-0.964,
CLARK_GRAND_OAK_2024,11,66,-3.914,-4.207,0.293
DOUGLAS_INDEPENDENCE_SACRAMENTO_2024,0,17,,8.489,
FRANKLIN_CENTRAL_PARK_SACRAMENTO_2024,1,28,7.549,8.758,-1.209
GRAND_CHICAGO_DAMEN_2024,5,40,-3.09,-4.16,1.07
HALSTED_ROOSEVELT_VAN_BUREN_2024,5,48,10.225,12.951,-2.726
MILWAUKEE_CALIFORNIA_LOGAN_2024,2,50,8.758,9.915,-1.157
WABASH_ROOSEVELT_BALBOA_2024,6,44,12.517,12.675,-0.158
16TH_CENTRAL_PARK_KEDZIE_2024,1,13,13.813,8.741,5.071
CANAL_ROOSEVELT_TAYLOR_2024,1,45,12.699,11.96,0.739
DAMEN_17TH_14TH_2024,0,25,,11.426,
HARRISON_ASHLAND_HALSTED_2024,2,51,9.514,11.087,-1.573
HOMAN_ROOSEVELT_HARRISON_2024,0,12,,7.873,
JACKSON_OAKLEY_OGDEN_2024,2,32,10.804,9.546,1.258
KEELER_HARRISON_CONGRESS_2024,0,12,,9.231,
PAULINA_CONGRESS_WARREN_2024,1,40,9.643,9.416,0.227
TAYLOR_MORGAN_CANAL_2024,3,46,10.185,11.891,-1.706
